City name;City name (CDP);City name (carbonn);City name (PKU);City name (GEA);City name (UITP);City name (WB);Definition (CDP);Definition (carbonn);Definition (WB);Study year (WB);Reporting year (CDP);Scope-1 GHG emissions [tCO2 or tCO2-eq];Scope-1 source dataset;Scope-1 GHG emissions units;Year of emission;Emissions protocol;Gases included (CDP);Methodology details (CDP);Increase/Decrease from last year (CDP);Reason for increase/decrease in emissions (CDP);Scope-2 (CDP) [tCO2-eq];Total emissions (CDP) [tCO2-eq];CDP2016 data edited (CDP);Emissions Quality Flag (CDP);S1 lower bound [tCO2] (CDP);S1 upper bound [tCO2] (CDP);S1 mean (CDP) [tCO2];TOT lower bound [tCO2] (CDP);TOT upper bound [tCO2] (CDP);TOT mean (CDP) [tCO2];Scope fraction (CDP);CO2 emissions per capita (PKU) [tCO2/capita];City location (CDP) [degrees];Coordinate source (others);Country;Region;Population (CDP);Population year (CDP);Population (carbonn);Population year (carbonn);Urban population (PKU);Population (GEA);Population (UITP);Population (WB);Population year (WB);Population (others);Population year (others);Population source (others);Population 1950 (WB);Population 1990 (WB);Population 2010 (WB);Population growth rate 1950-2010 (WB) [people/60years];Population growth rate 1990-2010 (WB) [people/20years];Ancillary from GEA+;City area (CDP) [km2];City area (GEA) [km2];City area (WB) [km2];Built-up area (PKU) [km2];City area (others) [km2];City area source year (others);City area source (others);Population density (GEA) [people/km2];Population density (UITP) [people/km2];Population density (WB) [people/km2];Population/sqrt(area) (GEA) [people/km];Population/sqrt(area) (WB) [people/km];Average altitude [m];Average annual temperature (CDP) [degrees Celsius];Weather station ID (GEA+);CDD 23C (GEA+) [degrees C × days];HDD 15.5C (GEA+) [degrees C × days];HDD 15.5C (clim) [degrees C × days];CDD 23C (clim) [degrees C × days];GDP (CDP) [multiple units];GDP unit (CDP);GDP year (CDP);GDP source (CDP);GDP (carbonn) [multiple units];nGDP (carbonn) [multiple units];GDP unit (carbonn);GDP year (carbonn);GDP (PKU) [10000 RMB];Income per capita (PKU) [RMB/capita];GDP-PPP (others) [$BN];GDP-PPP/capita (others) [USD/capita];GDP-PPP source (others);GDP-PPP year (others);nGDP (others) [$BN];nGDP/capita (others) [USD/capita];nGDP source (others);nGDP year (others);GDP-PPP/capita (GEA) [USD/year];GDP-PPP/capita (UITP) [USD/year];GDP-PPP/capita (WB) [USD/year];Total final consumption per capita (GEA) [GJ/capita/yr];Energy per capita CO2 (WB) [tCO2-eq/capita/yr];Diesel price (GEA+) [USD/liter];Gasoline price (GEA+) [USD/liter];Center of commerce index (GEA+) [dimensionless];Household size (GEA+) [people/household];Household size year (GEA+);Household source (GEA+);Household size comment (GEA+);Urbanization ratio (GEA+) [percent];Water bounded (GEA+);Other bounded (GEA+);Mean one-way travel time (others) [minutes];Mean one-way travel time year (others);Mean one-way travel time source (others);Diesel price 2014 (others) [USD/liter];Gasoline price 2014 (others) [USD/liter];Household size (others) [people/household];Household size year (others);Household size source (others);Household size comment (others);Congestion rank (INRIX) [dimensionless];Peak hours spent in congestion (INRIX) [hours];INRIX congestion index (INRIX) [dimensionless];Average congestion rate (INRIX) [percent];Congestion rank (TomTom) [dimensionless];Congestion level (TomTom) [× 100 percent];Congestion change (TomTom) [× 100 percent];Morning peak (TomTom) [percent];Evening peak (TomTom) [percent];Economy (IESE) [dimensionless];Environment (IESE) [dimensionless];Governance (IESE) [dimensionless];Human capital (IESE) [dimensionless];International impact (IESE) [dimensionless];Mobility and transportation (IESE) [dimensionless];Public management (IESE) [dimensionless];Social cohesion (IESE) [dimensionless];Technology (IESE) [dimensionless];Urban planning (IESE) [dimensionless];CIMI (IESE) [dimensionless];CIMI ranking (IESE) [dimensionless];CIMI performance (IESE) [dimensionless];Urban area name (UEX);Low BUA - 1990 (UEX) [km2];Low BUA - 2000 (UEX) [km2];Low BUA - 2014 (UEX) [km2];High BUA - 1990 (UEX) [km2];High BUA - 2000 (UEX) [km2];High BUA - 2014 (UEX) [km2];Low BUA % - 1990 (UEX) [percent];Low BUA % - 2000 (UEX) [percent];Low BUA % - 2014 (UEX) [percent];High BUA % - 1990 (UEX) [percent];High BUA % - 2000 (UEX) [percent];High BUA % - 2014 (UEX) [percent];Low BUA population density - 1990 (UEX) [people/km2];High BUA population density - 1990 (UEX) [people/km2];Low BUA population density - 2000 (UEX) [people/km2];High BUA population density - 2000 (UEX) [people/km2];Low BUA population density - 2014 (UEX) [people/km2];High BUA population density - 2014 (UEX) [people/km2];Exports (others) [m3];Production (others) [m3];Natgas Export/Production ratio (others);CH4_waste/capita (others) [tCH4/capita];CH4_waste+natgas/capita (others) [tCH4/capita];Corrected CH4_(waste+natgas)/capita (others) [tCH4/capita];Year from CIA (others);AQF (CDP/GEA);AQF (CDP/WB);AQF (CDP/OTHERS);AQF (PKU/GEA);AQF (PKU/WB);AQF (PKU/OTHERS);PQF (CDP);PQF (carbonn);PQF (WB);PQF (WB2010);PQF (OTHERS);HQF (GEA+);HQF (OTHERS)
Zhanjiang;;;Zhanjiang;;;;;;;;;1770360.6;PKU;tCO2;2010;Other;;;;;;;;;;;;;;;;0.6900000000000001;;wikipedia;China;East Asia;;;;;2565740.0;;;;;1611868.0;;wikipedia, urban values;;;;;;;;;;95.1;1360.0;;(urban), from wikipedia;;;;;;;;;;;60;920;;;;;;;;;7690724.0;38476.71;;;;2008;12.0;8207.93433653;[19];;;;;;;;;;;;;;;;;;;;1.09;1.17;;;;;;;;;;;;;;;;;;;;;;;;;;;Zhanjiang Urban Area;104.875;121.3125;135.5;80.625;111.0625;139.875;0.5653638814016171;0.522054868208713;0.49205628688152503;0.434636118598382;0.47794513179128606;0.5079437131184751;2242.03791180936;5341.2768596825;693.227766318858;7947.46913165864;624.233056343095;7729.81294539573;;;;;;;;;;;;;0.0;;;;;;;
Haerbin;;;Haerbin;Haerbin;;;;;;;;10142882.879999999;PKU;tCO2;2010;Other;;;;;;;;;;;;;;;;1.56;;wikipedia;China;East Asia;;;;;6501848.0;9804000.0;;;;5282083.0;;wikipedia, urban values;;;;;;1.0;;53000.0;;349.6;4640.4;;(urban), from wikipedia;184.9811320754717;;;42585.85468049132;;;;ZYHB;158.0;4815.0;4651;76;;;;;;;;;25819543.0;35025.27;0.0015600000000000002;;[1];2014;38.8;6599.76186426;[3], [19];;6191.213202017652;;;55.735252890145034;;1.01;0.99;;3.22;2003.0;http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf;"For ""Heilongjiang""";42.522;0.0;River;;;;1.09;1.17;;;;;;;;;;;;;;;;;;;;;;;;;;;Haerbin Urban Area;244.875;286.25;300.6875;416.0625;488.0;617.6875;0.370496453900709;0.36971262512108505;0.327412549339867;0.629503546099291;0.6302873748789151;0.672587450660132;180.082985582671;2732.09074588401;643.536063789792;7858.69671757646;622.467378035725;7336.148259362049;;;;;;;;;;;0.0;;0.0;;;;;;1.0;
Durban;City of Durban;;;;;;Other: geopolitical boundary - physical areas over which local government has jurisdictional control;;;;2016;11681810.0;CDP;tCO2-eq;2014;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);"CO2;CH4;N2O";;Increased;Due to better data collection and addressing data gaps.;10905271.0;22587080.999999996;;A;10291759.069251949;10464071.09730761;10377915.083279781;21197030.06925196;21369342.0973076;21283186.08327978;1.0;;-29.8586804,31.0218404;https://en.wikipedia.org/wiki/Durban;South Africa;Africa;3555868.0;2015.0;;;;;;;;3560000.0;2016;http://www.c40.org/cities/durban-ethekwini;;;;;;;2292.0;;;;2292.0;2016;http://www.c40.org/cities/durban-ethekwini;;;;;;426.0;24.0;;;;194;73;2308000000.0;ZAR     South African Rand;2015;;;;;;;;48.908;12884.0;[1];2014;22.0;7447.528774542992;[19];;;;;;;;;;;;;;;;;35.12;2014-2017;https://www.numbeo.com/traffic/in/Durban [BASED ON 17 CONTRIBUTORS];1.17;1.19;;;;;158.0;30.0;5.1;9.3%;-;0.22;0.04;44%;43%;167.0;123.0;85.0;160.0;173.0;138.0;110.0;156.0;147.0;156.0;43.35;158.0;B;eThekwini Metropolitan Municipality Urban Area;384.0;391.0;381.8125;583.125;671.25;775.625;0.39705312136487;0.36808660861379106;0.32987742318699703;0.60294687863513;0.6319133913862091;0.670122576813002;297.291396939106;2358.53041910084;794.034548294608;3754.73803488901;554.1960954493;3898.09991358414;0.0;1.0;0.0;0.0122306776;0.0139613383;0.0139613383;;;;1.0;;;;1.0;;;;1.0;;
Sendai;;Sendai City;;;;;;Municipality;;;;6573042.0;carbonn;tCO2-eq;2011;Community;;;;;;;;;;;;;;;;;;carbonn;Japan;East Asia;;;1073242.0;2014.0;;;;;;1025126.0;2017;Wikipedia;;;;;;;;;;;786.3;2017;Wikipedia;;;;;;105.5;;;;;1937;61;;;;;;56716427749.0233;;;;;75.317;33765.35461310858;[1];2014;52.09355;;[24];2012;;;;;;;;;;;;;;;;28.5;;;1.1;1.38;2.18;;;;;;;;;;;;;;;;;;;;;;;;;;Sendai Urban Area;159.375;178.5;185.8125;258.1875;291.25;311.9375;0.381679389312977;0.37998935604044703;0.373304871923656;0.618320610687022;0.6200106439595531;0.6266951280763441;6911.87799581813;11446.8112271371;433.889935569457;4582.44648420473;394.76430370818;4219.0596538491;;;;;;;;;;;;;;;1.0;;;0.0;;
Iowa;City of Iowa City;;;;;;Administrative boundary of a local government;;;;2016;590282.0;CDP;tCO2-eq;2013;U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI);"CO2;CH4;N2O;HFCs;PFCs;SF6";The methodology that was used was through ICLEI in 2009 using Clean Air and Climate Protection (CACP2009) software.;Decreased;The University of Iowa has increased the use of biofuels in their power plant and the City has increased energy efficiency standards in the building code. The population of Iowa City has increased,but the per capita emissions have decreased since we have been tracking emissions. See attachment above.;699338.0;1298620.0;;A;516968.93925297604;553899.619237846;535434.279245411;1225306.9392529759;1262237.619237846;1243772.279245411;0.9930695661548411;;41.6611,-91.5302;https://en.wikipedia.org/wiki/Iowa_City,_Iowa;USA;North America;73415.0;2015.0;;;;;;;;74398.0;2016;https://www.census.gov/quickfacts/fact/table/iowacitycityiowa/PST045216;;;;;;;65.5;;;;64.77564989999999;2010;https://www.census.gov/quickfacts/fact/table/iowacitycityiowa/PST045216;;;;;;203.0;10.5;;;;1889;34;8564000000.0;USD     US Dollar;2013;BEA-for Metropolitan Statistical Area;;;;;;;;;;2008;8.879;;[20];;;;;;;;;;;;;;;;;16.4;(2011-2015);;0.97;0.86;2.24;2011-2015;https://www.census.gov/quickfacts/fact/table/iowacitycityiowa/PST045216;;;;;;;;;;;;;;;;;;;;;;;;City of Iowa City Urban Area;33.5625;37.3125;38.625;37.8125;44.0;49.75;0.47022767075306504;0.458877786318217;0.43705799151343705;0.5297723292469351;0.541122213681782;0.5629420084865631;345.272116686836;1380.7143619060098;411.397391742187;1396.3314976318;449.870242146299;1642.5953783042498;42870000000.0;766200000000.0;0.06;0.017698981699999002;0.036729479100000004;0.0356646952;;;;1.0;;;;1.0;;;;1.0;;1.0
Flagstaff;City of Flagstaff;;;;;;Administrative boundary of a local government;;;;2016;621293.07;CDP;tCO2;2014;Other;CO2;Formulas taken from The Climate Registry: Pacificorp Data ('07 Generation);Stayed the same;City is growing at very slow rate,so emissions have not changed considerably over past three years of measuring.;590324.4;1211617.47;;A;;;;;;;1.0;;35.1992,-111.6311;https://en.wikipedia.org/wiki/Flagstaff,_Arizona;USA;North America;68667.0;2013.0;;;;;;;;71459.0;2016;https://www.census.gov/quickfacts/fact/table/flagstaffcityarizona/PST045216;;;;;;;165.0;;;;165.42266130000002;2010;https://www.census.gov/quickfacts/fact/table/flagstaffcityarizona/PST045216;;;;;;2134.0;6.5;;;;844;320;4801000000.0;USD     US Dollar;2010;U.S. Department of Commerce;;;;;;;;;;2008;5.267;;[20];;;;;;;;;;;;;;;;;15.9;(2011-2015);;0.97;0.86;2.52;2011-2015;https://www.census.gov/quickfacts/fact/table/flagstaffcityarizona/PST045216;;;;;;;;;;;;;;;;;;;;;;;;City of Flagstaff Urban Area;16.75;18.25;19.375;6.75;7.4375;8.1875;0.712765957446807;0.710462287104622;0.702947845804989;0.287234042553192;0.289537712895377;0.297052154195011;463.80277441606796;1820.13098900561;1177.2004186481402;1642.89484637124;1586.8958483427805;1770.0200790448998;42870000000.0;766200000000.0;0.06;0.017698981699999002;0.036729479100000004;0.0356646952;;;;1.0;;;;1.0;;;;1.0;;1.0
Nanjing, Jiangsu;;;Nanjing;Nanjing, Jiangsu;;;;;;;;9689288.421489999;PKU;tCO2;2010;Other;;;;;;;;;;;;;;;;1.55322211;;wikipedia;China;East Asia;;;;;6238186.0;6072300.0;;;;8335000.0;2017;(sub-provincial city), from wikipedia;;;;;;1.0;;6598.0;;736.6;6587.02;;(city), from wikipedia;920.3243407093056;;;74756.17361856558;;;;ZSNJ;514.0;1466.0;1472;399;;;;;;;;;45152168.0;49704.21;0.00155322211;;[1];2014;68.5;9559.02874686;[3], [19];;13240.537094604444;;;69.22249584109204;;1.01;0.99;;3.61;2003.0;http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf;"For ""Jiangxi""";42.522;0.0;Large River;;;;1.09;1.17;;;;;;;;;38;0.38;0.05;64%;67%;;;;;;;;;;;;;;Nanjing, Jiangsu Urban Area;529.3125;645.5;702.0;412.25;538.75;824.9375;0.562163956189844;0.5450707198648931;0.459743768163399;0.43783604381015606;0.45492928013510703;0.5402562318366011;2048.53008338106;12260.3783521544;998.419077979272;8411.18429891405;824.671129512094;8443.71887839972;;;;;;;;;;;0.0;;0.0;;;;;0.0;1.0;
Gwalior;;Gwalior Municipal Corporation;;;;;;Municipality;;;;1195239.0;carbonn;tCO2-eq;2013;Community - GPC;;;;;;;;;;;;;;;;;;carbonn;India;South Asia;;;1069276.0;;;;;;;1069276.0;2011;Wikipedia;;;;;;;;;;;289.0;2011;Wikipedia;;;;;;;;;;;60;1483;;;;;8470000000.000001;161957904.755634;INR;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.91;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;Gwalior Urban Area;32.5;36.75;45.0625;59.5625;64.875;71.6875;0.35302104548540403;0.361623616236162;0.385974304068522;0.6469789545145961;0.6383763837638381;0.614025695931477;3633.0239617548796;14578.0713300528;1875.9812806848802;17762.5575955488;2068.7589605532503;21406.5645297515;;;;;;;;;;;;;;;;;;1.0;;
Taiyuan, Shanxi;;;Taiyuan;Taiyuan, Shanxi;;;;;;;;3380932.83274;PKU;tCO2;2010;Other;;;;;;;;;;;;;;;;0.974897781548;;wikipedia;China;East Asia;;;;;3467987.0;3488200.0;;;;3212500.0;;wikipedia, urban values;;;;;;1.0;;;;246.0;1460.0;;(urban), from wikipedia;600.0;;;;;;;ZBYN;277.0;2683.0;3171;47;;;;;;;;;16222978.000000002;39453.99;0.0009748977815480002;;[1];2014;24.0;7003.20980449;[19];;8423.114130960414;;;151.41365923148288;;1.01;0.99;;3.61;2003;http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf;"For ""Shanxi""";42.522;0.0;Mountains;;;;1.09;1.17;;;;;;;;;;;;;;;;;;;;;;;;;;;Taiyuan, Shanxi Urban Area;211.9375;224.125;236.0;420.75;453.1875;498.3125;0.334979749086239;0.330903386546092;0.321389054387606;0.66502025091376;0.669096613453907;0.6786109456123921;452.262312442333;6046.00754252938;394.284677384021;6147.01812940689;440.394265469589;7694.772532582809;;;;;;;;;;;;;0.0;;;;;;1.0;
Portland, OR;City of Portland, OR;;;Portland;;Portland;Administrative boundary of a local government;;City;2005.0;2016;4610317.0;CDP;tCO2-eq;2014;U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI);"CO2;CH4;N2O";;Decreased;;2364227.0;6974544.0;;A;3991817.002665984;4303379.843440063;4147598.423053024;6356044.0026659835;6667606.843440062;6511825.423053023;1.0;;45.52,-122.6819;https://en.wikipedia.org/wiki/Portland,_Oregon;USA;North America;619360.0;2014.0;;;;443829.15869020467;;682835.0;2005.0;639863.0;2016;https://www.census.gov/quickfacts/fact/table/portlandcityoregon/PST045216;516000.0;1181000.0;2025000.0;1.023048576533196;1.027327128194376;1.0;376.0;;376.5;;345.58236569999997;2010;https://www.census.gov/quickfacts/fact/table/portlandcityoregon/PST045216;1689.0;;1813.6387782204513;;35191.1357464655;77.0;12.5;KPDX;102.0;1874.0;1579;14;163692000000.0;USD     US Dollar;2013;2013 GDP & personal income. U.S. Department of Commerce Bureau of Economic Analysis;;;;;;;158.54399999999995;67639.0;[1];2014;155.23932;66772.15600941284;[24];2013;50768.92480634707;;50768.92480634707;114.38843936295784;12.26;0.78;0.56;;2.52;2010.0;http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table;metro area;80.73100000000002;0.0;Major River Junction;25.1;(2011-2015);;0.97;0.86;2.34;2011-2015;https://www.census.gov/quickfacts/fact/table/portlandcityoregon/PST045216;;40.0;47.0;7.7;10.4%;82;0.29;0.03;41%;66%;;;;;;;;;;;;;;City of Portland, OR Urban Area;393.125;396.4375;395.3125;802.8125;860.375;898.125;0.328717010713353;0.315430901586354;0.30562937907707205;0.6712829892866471;0.6845690984136451;0.694370620922928;424.413800781873;1041.78927168605;293.65260680828;1584.41004211953;275.145517711284;1882.4986878731104;42870000000.0;766200000000.0;0.06;0.017698981699999002;0.036729479100000004;0.0356646952;;;1.0;1.0;;;;1.0;;0.0;1.0;1.0;1.0;1.0
Yantai;;;Yantai;;;;;;;;;4531203.03283;PKU;tCO2;2010;Other;;;;;;;;;;;;;;;;1.17650039474;;wikipedia;China;East Asia;;;;;3851425.0;;;;;2227733.0;;wikipedia, urban values;;;;;;;;;;265.9;;;(urban), from wikipedia;;;;;;;;;;;2096;105;;;;;;;;;18602672.0;37765.78;0.00117650039474;;[1];2014;27.0;12118.491921;[19];;;;;;;;;;;;;;;;;;;;1.09;1.17;;;;;;;;;;;;;;;;;;;;;;;;;;;Yantai Urban Area;84.25;95.8125;97.5625;117.125;149.9375;198.5625;0.418373680943512;0.389877924720244;0.32946390882228804;0.5816263190564871;0.610122075279755;0.6705360911777121;346.872977526907;5046.337387323521;1487.4890356630099;7058.092991576491;1375.56834704813;5675.25228261302;;;;;;;;;;;;;;;;;;;;
Malang;;City of Malang;;;;;;Municipality;;;;775422.0;carbonn;tCO2-eq;2017;Community - GPC;;;;;;;;;;;;;;;;;;carbonn;Indonesia;Southeast Asia;;;881794.0;;;;;;;887443.0;2016;Wikipedia;;;;;;;;;;;145.28;2016;Wikipedia;;;;;;;;;;;0;489;;;;;51827980000.0;60147601659.043396;USD;2017;;;;;;;60.147601659043396;;carbonn, scaled to $BN USD;;;;;;;;;;;;;;;;;;;;0.8;0.93;;;;;85.0;39.0;9.1;20.4%;;;;;;;;;;;;;;;;;;;Malang Urban Area;540.9375;629.0625;683.4375;223.0625;315.5;368.375;0.70803337696335;0.665982928604512;0.6497712282369721;0.291966623036649;0.33401707139548703;0.350228771763028;5354.23835692036;32572.7770399306;1070.02959716558;8209.17281258125;962.179234018015;7690.11796478178;;;;;;;;;;;;;;;;;;1.0;;
Semarang;;City of Semarang;;;;;;Municipality;;;;1770297.41;carbonn;tCO2-eq;2010;Community;;;;;;;;;;;;;;;;;;carbonn;Indonesia;Southeast Asia;;;1500000.0;2010.0;;;;;;1555984.0;2010;Wikipedia;;;;;;;;;;;373.78;2010;Wikipedia;;;;;;;;;;;0;1339;;;;;;6417277136.04357;;;;;;;;;9.0;5784061.696658097;[3], [19];;;;;;;;;;;;;;;;;;;;0.8;0.93;;;;;143.0;32.0;6.9;15.2%;;;;;;;;;;;;;;;;;;;Semarang Urban Area;899.9375;1105.1875;1251.0625;562.0;734.0;1139.0625;0.6155786413577871;0.60091072824277;0.5234297369384451;0.38442135864221305;0.39908927175723;0.47657026306155503;1487.60039406157;11123.721606003899;1266.65209629755;7779.868231167909;862.576155796912;5657.64482895421;;;;;;;;;;;;;;;1.0;;;1.0;;
Chicago;City of Chicago;;;;Chicago;;Administrative boundary of a local government;;;;2017;16951471.0;CDP;tCO2-eq;2015;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);"CO2;CH4;N2O";;Decreased;Chicago conducted a preliminary comparison using the existing 2010 and 2015 data to evaluate how community emissions have changed over the last five years. Results of this preliminary analysis of 2010 and 2015 GHG emissions reveals Chicago continued to reduce total GHG emissions through 2015 in the stationary and waste sectors resulting in a greater than 7 percent reduction in GHG emissions over the last five years. During that time,Chicago’s population grew by approximately 1 percent while the region’s GRP grew by more than 12 percent. Growth coupled with reduction in total emissions resulted in a greater than 8 percent decrease in per capita emissions in the City. Between 2010 and 2015,the majority of MT CO2e reductions occurred in the stationary energy sector,followed by waste. When considering percent reductions,the waste sector experienced the greatest reduction (30 percent) which included a 35 percent emissions reduction in the solid waste disposal sub-sector. This reduction in the solid waste sector is likely driven by a decrease in the total amount of solid waste sent to landfills and an improvement in the solid waste treatment technologies at those landfills. The City expanded its residential curbside recycling pilot program to now serve over 400,000,or approximately 33 percent,of additional City houeholds.Because of the program’s expansion the City experienced a significant increase in the number of tons collected for recycling,from 58,000 in 2010 to 97,000 in 2015. The stationary energy sector overall saw a 10 percent drop in emissions,including 11,12 and 8 percent emissions reductions in the residential,commercial and institutional buildings and facilities,and manufacturing industries and construction sub-sectors,respectively. Stationary energy sector GHG emissions reductions are likely driven by a general trend in the building industry to improve energy efficiency of buildings as well as a regional shift in energy generation towards renewable energy sources. The City has also implemented the Energy Benchmarking Ordinance,Retrofit Chicago,and the Chicago Solar Express to encourage increasing energy efficiency and renewable energy generation and consumption within the city.;12967222.999999998;29918693.999999996;Replaced by CDP2017 data. Reason: Both scopes missing (Case 4b) in CDP2016. Soln: Updated with CDP2017 values that contain at least one scope;B;14234702.57170778;15603245.97169577;14918974.27170177;27201925.571707778;28570468.971695773;27886197.27170177;1.0;;41.8781136,-87.6297982;https://en.wikipedia.org/wiki/Chicago;USA;North America;2720546.0;2015.0;;;;;7523328.0;;;2704958.0;2016;https://www.census.gov/quickfacts/fact/table/chicagocityillinois/PST045216;;;;;;1.0;606.0;;;;589.5594237;2010;https://www.census.gov/quickfacts/fact/table/chicagocityillinois/PST045216;;1680.9999999999998;;;;181.0;9.4;KMDW;;;1889;34;563188000000.0;;2014;Brookings Institution;;;;;;;563.188;58861.0;[1];2014;496.4;52351.82450959713;[3], [19];;;32109.75;;;;0.78;0.56;65.24;2.68;2010;http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table;metro area;80.73100000000002;1.0;;30.95;2013;TORONTO AS A GLOBAL CITY:Scorecard on Prosperity – 2015, pg. 25, report by Toronto Board of Trade (downloaded fie: Toronto_scorecard_2015.pdf);0.97;0.86;2.5700000000000003;2011-2015;https://www.census.gov/quickfacts/fact/table/chicagocityillinois/PST045216;;19.0;57.0;10.1;10.2%;108;0.26;0.0;36%;57%;8.0;118.0;7.0;8.0;44.0;16.0;11.0;121.0;10.0;35.0;82.55;12.0;RA;Chicago Urban Area;2086.875;2083.3125;2004.25;4445.8125;5046.0;5679.4375;0.319451221262306;0.29221786813244605;0.260844809214326;0.680548778737694;0.707782131867554;0.739155190785674;394.91569236532206;809.464535811081;144.863365439934;1643.3233131211402;94.1923180912974;1554.94651440727;42870000000.0;766200000000.0;0.06;0.017698981699999002;0.036729479100000004;0.0356646952;;;;1.0;;;;1.0;;;;1.0;1.0;1.0
Buenos Aires;City of Buenos Aires;;;;;;Administrative boundary of a local government;;;;2016;15561156.999999998;CDP;tCO2-eq;2014;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);"CO2;CH4;N2O";The GHG emissions are calculated by the Buenos Aires EPA Climate Change team using, primarily, IPCC methodology and reporting based on the city-induced framework of the GCP protocol. The city has already completed the BASIC approach.;Decreased;"Due to the city mitigation actions,the city´s total GHG emissions have decreased compared to last year. It may be explained,among others factors,because of improvement of the mitigation measures in the Waste Sector: new technologies which have been implemented in order to reduce the volume of waste disposed in landfills. Even though,during 2014,the city recorded the longest heat wave in its history,which has led to an increase in energy consumption for air conditioning and in general a higher residential use of electricity; however,the reductions in the 2014 inventory were achieved by the diminution on natural gas consumption as well as the reductions done in the waste sector,which in the end managed to diminish the impact of electricity energy subsector. Regarding transport sector,the City has sold little bit less fuel than last year,which is shown in a small decreases of the sector's emissions. Regarding the evolution of total GHG emissions in the period 2000 - 2014,an increase of 17% is observed. However,in the last 10 years (2005- 2014),the increase was 13%. After the implementation of the Action Plan,is relevant to compare the current level of emissions with those prior to the Plan,in 2008. Emissions in 2014 increased only 1.5% compared to 2008.";4105971.0;19667128.0;;A;15163724.04957472;15206123.049321052;15184923.54944788;19269695.04957472;19312094.04932105;19290894.549447883;1.0;;-34.6037232,-58.3815931;https://en.wikipedia.org/wiki/Buenos_Aires;Argentina;Latin America & Caribbean;3054267.0;2015.0;;;;;;;;3500000.0;2016;http://www.c40.org/cities/buenos-aires;;;;;;;202.0;;;;202.0;2016;http://www.c40.org/cities/buenos-aires;;;;;;25.0;18.0;;;;300;0;78326876513.0;USD     US Dollar;2013;Treasury Secretariat, Buenos Aires City Government;;;;;;;315.885;23606.0;[1];2014;191.7;14634.704939308345;[19];;;;;;;;;;;;;;;;;45.71;2014-2017;https://www.numbeo.com/traf]fic/in/Buenos-Aires [BASED ON 42 CONTRIBUTORS;1.33;1.52;;;;;;;;;19;0.42;;64%;68%;113.0;113.0;49.0;60.0;47.0;49.0;107.0;97.0;82.0;63.0;63.32;83.0;RA;City of Buenos Aires Urban Area;655.1875;700.4375;731.375;1702.0625;1887.5625;2046.3125;0.27794569943790404;0.270648183925811;0.263303557365614;0.7220543005620961;0.7293518160741891;0.736696442634385;1990.0;1990.0;425.79252983813797;6429.7299512456;497.821055884172;7166.39715934467;2600000000.0;38770000000.0;0.07;0.0041514982;0.0046829182;0.00464728;;;;1.0;;;;1.0;;;;1.0;;
